texto,emocao
Perdi a paciência com aquele problema.,raiva
Aquela cena me assustou de verdade.,medo
Tenho receio de fracassar nesse desafio.,medo
Fiquei com muita raiva daquela situação.,raiva
Fiquei surpreso com a notícia!,surpresa
A escuridão sempre me deixa apreensivo.,medo
A festa estava incrível, me diverti demais.,alegria
Estou com muito medo do futuro.,medo
Tenho receio de fracassar nesse desafio.,medo
Tenho receio de fracassar nesse desafio.,medo
Fiquei enojado com a situação.,nojo
Nunca imaginei que isso poderia acontecer.,surpresa
Meu time ganhou o campeonato, estou radiante.,alegria
Fiquei surpreso com a notícia!,surpresa
A situação é perigosa e sinto pavor.,medo
Estou furioso com o que aconteceu.,raiva
Senti muito nojo daquela comida estragada.,nojo
Fico ansioso só de pensar nisso.,medo
Fiquei surpreso com a notícia!,surpresa
A conquista do meu diploma me deixou realizado.,alegria
Perdi a paciência com aquele problema.,raiva
Aquela cena me assustou de verdade.,medo
A notícia me deixou muito abatido.,tristeza
Fiquei com muita raiva daquela situação.,raiva
O fim daquele ciclo me deixou melancólico.,tristeza
Sinto uma alegria enorme ao ver você sorrir.,alegria
A escuridão sempre me deixa apreensivo.,medo
A sujeira do lugar me deixou enojado.,nojo
Estou furioso com o que aconteceu.,raiva
Fiquei enojado com a situação.,nojo
Estou com muito medo do futuro.,medo
A chuva me faz lembrar de momentos difíceis.,tristeza
Perdi algo importante e estou desolado.,tristeza
Que surpresa maravilhosa ao abrir o presente.,surpresa
Foi uma reviravolta inesperada.,surpresa
Fiquei surpreso com a notícia!,surpresa
A notícia me deixou muito abatido.,tristeza
Tenho receio de fracassar nesse desafio.,medo
Perdi a paciência com aquele problema.,raiva
Estou irritado com a falta de respeito.,raiva
A escuridão sempre me deixa apreensivo.,medo
Que surpresa maravilhosa ao abrir o presente.,surpresa
É revoltante ver tanta injustiça.,raiva
Meu time ganhou o campeonato, estou radiante.,alegria
Aquela atitude foi completamente desprezível.,nojo
Senti muito nojo daquela comida estragada.,nojo
Estou muito feliz hoje!,alegria
Perdi a paciência com aquele problema.,raiva
Fiquei surpreso com a notícia!,surpresa
Estou sozinho e isso me entristece.,tristeza
Que dia maravilhoso para celebrar com amigos.,alegria
Não esperava encontrar você aqui.,surpresa
Estou com muito medo do futuro.,medo
É revoltante ver tanta injustiça.,raiva
A chuva me faz lembrar de momentos difíceis.,tristeza
A conquista do meu diploma me deixou realizado.,alegria
A escuridão sempre me deixa apreensivo.,medo
Fico ansioso só de pensar nisso.,medo
Tenho receio de fracassar nesse desafio.,medo
Não esperava encontrar você aqui.,surpresa
Fiquei enojado com a situação.,nojo
As pessoas foram muito grossas hoje.,raiva
Foi uma reviravolta inesperada.,surpresa
Estou sozinho e isso me entristece.,tristeza
Estou furioso com o que aconteceu.,raiva
A notícia me deixou muito abatido.,tristeza
Senti muito nojo daquela comida estragada.,nojo
A chuva me faz lembrar de momentos difíceis.,tristeza
Perdi a paciência com aquele problema.,raiva
Estou sozinho e isso me entristece.,tristeza
Não esperava encontrar você aqui.,surpresa
Me pegou totalmente desprevenido.,surpresa
Estou furioso com o que aconteceu.,raiva
Que dia maravilhoso para celebrar com amigos.,alegria
